state,floor,FIPS,radon,log_radon
AK,0,2020,0.9,-0.10536051565782628
AK,0,2020,1.1,0.09531017980432493
AK,0,2020,1.0,0.0
AK,0,2020,0.5,-0.6931471805599453
AK,0,2020,0.9,-0.10536051565782628
AK,1,2020,0.4,-0.916290731874155
AK,1,2020,0.2,-1.6094379124341003
AK,1,2020,1.6,0.47000362924573563
AK,1,2020,0.1,-2.3025850929940455
AK,1,2020,1.2,0.1823215567939546
AK,1,2020,0.1,-2.3025850929940455
AK,1,2020,0.7,-0.35667494393873245
AK,1,2020,0.3,-1.2039728043259361
AK,2,2020,0.3,-1.2039728043259361
AK,0,2020,2.1,0.7419373447293773
AK,1,2020,1.1,0.09531017980432493
AK,1,2020,0.4,-0.916290731874155
AK,0,2020,0.2,-1.6094379124341003
AK,1,2020,0.1,-2.3025850929940455
AK,1,2020,0.2,-1.6094379124341003
AK,9,2020,0.9,-0.10536051565782628
AK,0,2020,1.1,0.09531017980432493
AK,0,2020,0.7,-0.35667494393873245
AK,0,2020,0.3,-1.2039728043259361
AK,0,2020,1.3,0.26236426446749106
AK,0,2020,1.0,0.0
AK,0,2020,0.4,-0.916290731874155
AK,0,2020,0.5,-0.6931471805599453
AK,0,2020,0.1,-2.3025850929940455
AK,0,2020,0.3,-1.2039728043259361
AK,0,2020,1.4,0.3364722366212129
AK,0,2020,0.2,-1.6094379124341003
AK,0,2020,0.5,-0.6931471805599453
AK,1,2020,0.5,-0.6931471805599453
AK,1,2020,0.1,-2.3025850929940455
AK,1,2020,0.3,-1.2039728043259361
AK,1,2020,0.2,-1.6094379124341003
AK,1,2020,2.0,0.6931471805599453
AK,1,2020,0.1,-2.3025850929940455
AK,1,2020,0.1,-2.3025850929940455
AK,1,2020,0.7,-0.35667494393873245
AK,0,2020,4.2,1.4350845252893227
AK,0,2020,1.5,0.4054651081081644
AK,9,2020,1.3,0.26236426446749106
AK,0,2020,1.0,0.0
AK,0,2020,0.4,-0.916290731874155
AK,0,2020,2.4,0.8754687373538999
AK,0,2020,1.1,0.09531017980432493
AK,0,2020,0.3,-1.2039728043259361
AK,0,2020,1.5,0.4054651081081644
AK,0,2020,2.4,0.8754687373538999
AK,0,2020,0.5,-0.6931471805599453
AK,1,2020,0.1,-2.3025850929940455
AK,1,2020,0.7,-0.35667494393873245
AK,1,2020,0.2,-1.6094379124341003
AK,1,2020,0.8,-0.2231435513142097
AK,1,2020,0.1,-2.3025850929940455
AK,9,2020,0.1,-2.3025850929940455
AK,2,2020,0.1,-2.3025850929940455
AK,2,2020,0.1,-2.3025850929940455
AK,9,2020,0.3,-1.2039728043259361
AK,9,2020,0.4,-0.916290731874155
AK,9,2020,2.2,0.7884573603642703
AK,0,2020,1.5,0.4054651081081644
AK,0,2020,3.0,1.0986122886681098
AK,0,2020,1.5,0.4054651081081644
AK,0,2020,7.0,1.9459101490553132
AK,0,2020,2.7,0.9932517730102834
AK,0,2020,2.0,0.6931471805599453
AK,0,2020,1.6,0.47000362924573563
AK,0,2020,1.8,0.5877866649021191
AK,0,2020,0.2,-1.6094379124341003
AK,0,2020,1.3,0.26236426446749106
AK,0,2020,1.5,0.4054651081081644
AK,0,2020,0.6,-0.5108256237659907
AK,0,2020,2.4,0.8754687373538999
AK,0,2020,0.3,-1.2039728043259361
AK,0,2020,0.9,-0.10536051565782628
AK,0,2020,0.5,-0.6931471805599453
AK,0,2020,0.1,-2.3025850929940455
AK,0,2020,5.1,1.62924053973028
AK,0,2020,0.5,-0.6931471805599453
AK,0,2020,0.2,-1.6094379124341003
